Gemeinde|Art|Landkreis|Bezirk|AGS
Abenberg|Stadt|Roth|Mittelfranken|09-576-111
Abensberg|Stadt|Kelheim|Niederbayern|09-273-111
Absberg|Markt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-111
Abtswind|Markt|Kitzingen|Unterfranken|09-675-111
Achslach|Gemeinde|Regen|Niederbayern|09-276-111
Adelschlag|Gemeinde|Eichstätt|Oberbayern|09-176-111
Adelsdorf|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-111
Adelshofen|Gemeinde|Ansbach|Mittelfranken|09-179-111
Adelshofen|Gemeinde|Fürstenfeldbruck|Oberbayern|09-571-111
Adelsried|Gemeinde|Augsburg|Schwaben|09-772-111
Adelzhausen|Gemeinde|Aichach-Friedberg|Schwaben|09-771-111
Adlkofen|Gemeinde|Landshut|Niederbayern|09-274-111
Affing|Gemeinde|Aichach-Friedberg|Schwaben|09-771-112
Aham|Gemeinde|Landshut|Niederbayern|09-274-112
Aholfing|Gemeinde|Straubing-Bogen|Niederbayern|09-278-112
Aholming|Gemeinde|Deggendorf|Niederbayern|09-271-111
Ahorn|Gemeinde|Coburg|Oberfranken|09-473-112
Ahorntal|Gemeinde|Bayreuth|Oberfranken|09-472-111
Aicha vorm Wald|Gemeinde|Passau|Niederbayern|09-275-111
Aichach|Stadt|Aichach-Friedberg|Schwaben|09-771-113
Aichen|Gemeinde|Günzburg|Schwaben|09-774-166
Aidenbach|Markt|Passau|Niederbayern|09-275-112
Aidhausen|Gemeinde|Haßberge|Unterfranken|09-674-111
Aiglsbach|Gemeinde|Kelheim|Niederbayern|09-273-113
Aindling|Markt|Aichach-Friedberg|Schwaben|09-771-114
Ainring|Gemeinde|Berchtesgadener Land|Oberbayern|09-172-111
Aislingen|Markt|Dillingen an der Donau|Schwaben|09-773-111
Aiterhofen|Gemeinde|Straubing-Bogen|Niederbayern|09-278-113
Aitrang|Gemeinde|Ostallgäu|Schwaben|09-777-111
Albaching|Gemeinde|Rosenheim|Oberbayern|09-187-186
