Land|Flaeche|Einwohner|EinwJeQkm|Hauptstadt
Baden-Württemberg|35751.36|10569111|296|Stuttgart
Bayern|70550.23|12519571|177|München
Berlin|891.70|3375222|3785|Berlin
Brandenburg|29485.63|2449511|83|Potsdam
Bremen|419.24|654774|1562|Bremen
Hamburg|755.30|1734272|2296|Hamburg
Hessen|21114.93|6016481|285|Wiesbaden
Mecklenburg-Vorpommern|23210.55|1600327|69|Schwerin
Niedersachsen|47613.78|7778995|163|Hannover
Nordrhein-Westfalen|34109.70|17554329|515|Düsseldorf
Rheinland-Pfalz|19854.10|3990278|201|Mainz
Saarland|2568.70|994287|387|Saarbrücken
Sachsen|18420.01|4050204|220|Dresden
Sachsen-Anhalt|20450.64|2259393|110|Magdeburg
Schleswig-Holstein|15799.61|2806531|178|Kiel
Thüringen|16172.46|2170460|134|Erfurt
